               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.028487,           0.0067085,                   0,             0.94611,             0.93186,             0.96873,             0.61813,            0.024566,           0.0038687,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.027843,            0.006813,                   0,              0.9464,             0.93206,             0.96684,             0.61715,            0.024931,           0.0038722,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.028959,           0.0063545,                   0,             0.94802,             0.92931,             0.96116,             0.60915,            0.024822,           0.0038761,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.028402,           0.0065456,                   0,             0.94225,             0.93535,             0.96732,             0.62386,            0.024141,           0.0038676,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.026992,           0.0065215,                   0,             0.93042,             0.93689,             0.96456,             0.62677,            0.023595,           0.0038084,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.026991,           0.0064683,                   0,              0.9401,             0.93304,             0.96552,              0.6284,            0.023266,           0.0037879,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.026776,           0.0063873,                   0,             0.94213,              0.9448,             0.96689,             0.63407,            0.023167,           0.0037869,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.027003,           0.0066021,                   0,             0.95544,             0.92994,             0.97072,             0.63551,             0.02365,           0.0037477,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.025816,           0.0062733,                   0,             0.96342,             0.91932,             0.97026,             0.64198,            0.022624,           0.0037083,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.025615,           0.0063499,                   0,             0.95642,             0.93631,             0.97324,             0.63268,            0.023071,           0.0037021,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.026637,           0.0064114,                   0,             0.95467,             0.93904,             0.97352,             0.63722,             0.02269,            0.003713,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.025598,           0.0061903,                   0,             0.95464,             0.93836,             0.97282,             0.63729,            0.022574,           0.0037219,                   0,            0.000496,            0.000496,            0.000496
